;Прайс-лист;;;;;;;;
;;;;;;;;;
;УрАА ООО;;;;;;;;
;;;;;;;;;
;В валютах цен.;;;;;;;;
;Цены указаны на 24.11.2022;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;Ценовая группа/ Номенклатура;Остаток;Номенклатура.Код;Номенклатура.Артикул;Номенклатура.Бренд;Интернет;;Основная цена продажи;
;;;;;;Цена;Ед.;Цена;Ед.
;;;;;;;;;
;АВТОМАГНАТ, БелАК;;;;;;;;
;130-3407200-А Насос ГУРа Зил 130 (с бачком) БАК.00073 (БелАК);;УТ493;БАК.00073;БелАК;6 037,00 руб.;шт.;5 642,00 руб.;шт.
;130-3407200А Насос ГУРа Зил 130 (с бачком) АМ AM-20-002;;Ф4227;AM-20-002;АВТОМАГНАТ;5 111,00 руб.;шт.;4 776,00 руб.;шт.
;21214-1300024-43 Вентилятор охл. ЛУЗАР для а/м Лада 21213-214 Нива (2 вент.) (с кожухом) (LFK 01220);2,000;Ф6828;LFK 01220;LUZAR;4 948,00 руб.;шт.;4 624,00 руб.;шт.
;2190-8112010 Эл./вент. кондиц. ЛУЗАР для а/м Лада 2190 Гранта/Datsun on-Do (с кожухом) (LFAC 0190);1,000;Ф6500;LFAC 0190;LUZAR;3 663,00 руб.;шт.;3 423,00 руб.;шт.
;256б-3407199-01 Насос гидроус. руля (КрАЗ, Урал);;00118;;;;;;
;256В-3407199-01 Насос гидроус. руля (КрАЗ, Урал) AM-20-004 (Автомагнат);4,000;Ф4223;AM-20-004;АВТОМАГНАТ;4 503,00 руб.;шт.;4 093,00 руб.;шт.
;256В-3407199-01 Насос ГУРа Краз, Урал, Зил  БАК.00071 (БелАК);6,000;УТ491;БАК.00071;БелАК;4 766,00 руб.;шт.;4 454,00 руб.;шт.
;409000-3407008 Насос ГУР Уаз дв.409 (АМ) AM-20-008;4,000;Ф2678;AM-20-008;АВТОМАГНАТ;5 774,00 руб.;шт;5 396,00 руб.;шт
;4310 Р/К насоса ГУР  5320-3407244 (статор,ротор,лопасть);7,000;УТ255;5320-3407244;МАРК;1 901,00 руб.;шт.;1 776,00 руб.;шт.
;4310-3407200-01 Насос гидроусилителя руля  (КамАЗ) МАРК в коробке багу;8,000;00213;4310-3407200-01;МАРК;5 899,00 руб.;шт.;5 513,00 руб.;шт.
;4310-3407200-01 Насос ГУРа Камаз (АМ) AM-20-005;3,000;УТ492;AM-20-005;АВТОМАГНАТ;4 672,00 руб.;шт.;4 366,00 руб.;шт.
;4310-3407200-01 Насос ГУРа Камаз БЕЛАК БАК.00070;2,000;Ф3919;БАК.00070;БелАК;5 649,00 руб.;шт.;5 279,00 руб.;шт.
;4310-3407200-01 Насос ГУРа Камаз МАРК;4,000;Ф4912;4310-3407200-01;МАРК;4 970,00 руб.;шт.;4 644,00 руб.;шт.
;4310-3407200-01 ШНКФ 453479.007  Комплект ремонтный для насоса (БАГУ);21,000;01078;4310-3407200-01;БАГУ;1 103,00 руб.;шт.;1 030,00 руб.;шт.
